District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Helen Y. Davis Leadership Academy Charter Public (District),04190000,6,4.3,3,2.2,22,15.9,118,85.5,,,,,122,88.4,,
Hill View Montessori Charter Public (District),04550000,40,13.1,15,4.9,60,19.6,114,37.3,,,,,168,54.9,,
Hilltown Cooperative Charter Public (District),04500000,2,0.9,0,0,31,14.3,42,19.4,,,,,58,26.7,,
Hingham,01310000,96,2.5,15,0.4,604,15.5,320,8.3,,,,,847,21.7,,
Holbrook,01330000,276,21.5,82,6.4,267,20.4,581,45.2,,,,,770,58.7,,
Holland,01350000,0,0,0,0,23,10.1,98,43.4,,,,,108,47.6,,
Holliston,01360000,334,11.9,62,2.2,469,16.5,324,11.5,,,,,783,27.5,,
Holyoke,01370000,1875,36.8,976,19.1,1483,28.6,4415,86.5,,,,,4674,90,,
Holyoke Community Charter (District),04530000,215,32.9,78,11.9,128,19.6,558,85.5,,,,,583,89.3,,
Hoosac Valley Regional,06030000,11,1.1,7,0.7,249,24.7,618,61.3,,,,,675,66.8,,
Hopedale,01380000,111,10,57,5.1,217,19.2,252,22.6,,,,,419,37,,
Hopkinton,01390000,765,19.1,278,6.9,501,12.4,317,7.9,,,,,1153,28.6,,
Hudson,01410000,689,29.5,325,13.9,432,18.3,885,37.9,,,,,1214,51.3,,
Hull,01420000,10,1.2,8,1,179,21.8,292,36.3,,,,,391,47.6,,
Innovation Academy Charter (District),04350000,77,9.9,23,3,183,23.6,213,27.4,,,,,343,44.2,,
Ipswich,01440000,96,5.9,30,1.8,307,18.7,333,20.5,,,,,552,33.5,,
King Philip,06900000,46,2.5,6,0.3,334,17.5,286,15.3,,,,,539,28.3,,
Kingston,01450000,49,4.7,42,4,202,18.9,253,24.2,,,,,398,37.3,,
KIPP Academy Boston Charter School (District),04630000,297,49.5,110,18.3,117,19.5,482,80.3,,,,,527,87.8,,
KIPP Academy Lynn Charter (District),04290000,1306,80.9,215,13.3,186,11.5,1164,72.1,,,,,1280,79.3,,
Lawrence,01490000,9173,71.7,4697,36.7,2425,18.9,11359,88.8,,,,,12103,94.1,,
Lawrence Family Development Charter (District),04540000,613,77,208,26.1,61,7.7,669,84,,,,,719,90.3,,
Learning First Charter Public School (District),04860000,359,53.5,175,26.1,91,13.6,557,83,,,,,598,89.1,,
Lee,01500000,46,7,24,3.6,113,17,302,45.8,,,,,358,54,,
Leicester,01510000,134,9.6,60,4.3,266,18.9,524,37.7,,,,,679,48.2,,
Lenox,01520000,55,7.6,17,2.4,72,10,185,25.6,,,,,238,32.9,,
Leominster,01530000,1754,29.7,800,13.5,1380,23,3419,57.8,,,,,4084,68.1,,
Leverett,01540000,0,0,0,0,20,13.9,40,27.8,,,,,53,36.8,,
Lexington,01550000,2296,33.8,569,8.4,978,14.2,582,8.6,,,,,2232,32.4,,
Libertas Academy Charter School (District),35140000,89,26.8,89,26.8,75,22.6,293,88.3,,,,,304,91.6,,
Lincoln,01570000,106,9.9,48,4.5,209,19.2,120,11.3,,,,,335,30.7,,
Lincoln-Sudbury,06950000,78,5.2,9,0.6,346,22.1,144,9.5,,,,,442,28.2,,
Littleton,01580000,126,7.7,30,1.8,272,16.3,181,11,,,,,450,27,,
